  blen   clen S U reps  ns  sp|     naive/s|   trimmed/s    as pct nv|  ftrimmed/s    as pct nv|
------------------------------+------------+-------------------------+-------------------------+
     3      3 0 0    1   1   1|   1749431.3|   7257124.1        414.8| +10115387.9       +578.2|
     3      3 1 0    1   1   1|   1332206.5|   7607549.3        571.0| +10226008.6       +767.6|
     8      3 0 1    1   1   1|   1449271.8|   6821414.6        470.7|  +8692133.6       +599.8|
     8      3 1 1    1   1   1|   1150727.2|   7010554.4        609.2|  +8595098.8       +746.9|
    11     11 0 0    5   1   1|    925086.9|   7572539.2        818.6|  +9994781.5      +1080.4|
    11     11 1 0    5   1   1|    783619.0|   7673419.5        979.2| +10069800.7      +1285.0|
    28     11 0 1    5   1   1|    777662.5|   6912584.4        888.9|  +8683042.8      +1116.6|
    28     11 1 1    5   1   1|    692525.5|   6896329.9        995.8|  +8567648.5      +1237.2|
    21     21 0 0   10   1   1|    544406.8|   7562675.4       1389.2| +10202130.9      +1874.0|
    21     21 1 0   10   1   1|    512782.6|   7490819.6       1460.8| +10016907.6      +1953.4|
    53     21 0 1   10   1   1|    496601.6|   6955115.6       1400.5|  +8533180.5      +1718.3|
    53     21 1 1   10   1   1|    463696.8|   6974439.2       1504.1|  +8547453.0      +1843.3|
   101    101 0 0   50   1   1|    141951.7|   6269762.9       4416.8|  +9963103.7      +7018.7|
   101    101 1 0   50   1   1|    139169.3|   7414851.4       5327.9| +10014202.8      +7195.7|
   253    101 0 1   50   1   1|    127940.6|   6900672.3       5393.7|  +8393279.9      +6560.3|
   253    101 1 1   50   1   1|    126493.3|   6682738.2       5283.1|  +8619460.7      +6814.2|
   201    201 0 0  100   1   1|     73544.0|   7386335.8      10043.4|  +9601012.9     +13054.8|
   201    201 1 0  100   1   1|     72584.0|   7350344.2      10126.7|  +8842686.1     +12182.7|
   503    201 0 1  100   1   1|     67347.6|   6619889.5       9829.4|  +7692166.1     +11421.6|
   503    201 1 1  100   1   1|     66593.6|   6409988.1       9625.5|  +7872383.2     +11821.5|
    11     11 0 0    1   1   5|   1803406.3|   7021279.0        389.3|  +9360498.9       +519.0|
    11     11 1 0    1   1   5|   1341346.0|   7100264.0        529.3|  +9025293.3       +672.9|
    32     11 0 1    1   1   5|   1401698.5|   4427011.1        315.8|  +5007706.8       +357.3|
    32     11 1 1    1   1   5|   1105162.8|   4398239.1        398.0|  +4774180.0       +432.0|
    35     35 0 0    5   1   5|    422249.5|   7171813.1       1698.5|  +9049128.4      +2143.1|
    35     35 1 0    5   1   5|    391930.0|   7047685.8       1798.2| +10026621.7      +2558.3|
   100     35 0 1    5   1   5|    348855.6|   4387554.6       1257.7|  +4994368.6      +1431.6|
   100     35 1 1    5   1   5|    330682.2|   4358683.9       1318.1|  +4773266.3      +1443.5|
    65     65 0 0   10   1   5|    223044.0|   7186375.4       3222.0|  +9214197.6      +4131.1|
    65     65 1 0   10   1   5|    214939.2|   7312142.6       3402.0|  +9177655.8      +4269.9|
   185     65 0 1   10   1   5|    186680.6|   4383275.7       2348.0|  +4942407.2      +2647.5|
   185     65 1 1   10   1   5|    178748.2|   4337513.7       2426.6|  +4879647.1      +2729.9|
   305    305 0 0   50   1   5|     46669.5|   6615822.4      14175.9|  +8719199.7     +18682.9|
   305    305 1 0   50   1   5|     46442.3|   6683930.3      14391.9|  +8557160.5     +18425.4|
   865    305 0 1   50   1   5|     39457.2|   4252608.4      10777.8|  +4749284.2     +12036.5|
   865    305 1 1   50   1   5|     38996.1|   3981204.8      10209.2|  +4723045.3     +12111.6|
   605    605 0 0  100   1   5|     23575.6|   6741013.1      28593.1|  +8706352.9     +36929.5|
   605    605 1 0  100   1   5|     23509.9|   6670020.8      28371.2|  +8743639.2     +37191.4|
  1715    605 0 1  100   1   5|     19925.3|   3291876.4      16521.1|  +3693032.8     +18534.4|
  1715    605 1 1  100   1   5|     19716.0|   3660173.2      18564.5|  +4023543.4     +20407.5|
    21     21 0 0    1   1  10|   1797641.6|   6874948.4        382.4|  +8262022.3       +459.6|
    21     21 1 0    1   1  10|   1338062.3|   6946696.4        519.2|  +8561874.4       +639.9|
    62     21 0 1    1   1  10|   1284971.9|   2753755.2        214.3|  +2968506.7       +231.0|
    62     21 1 1    1   1  10|   1013866.0|   2732808.0        269.5|  +2994790.2       +295.4|
    65     65 0 0    5   1  10|    255461.9|   6965350.8       2726.6|  +8687774.5      +3400.8|
    65     65 1 0    5   1  10|    244527.0|   6689413.3       2735.7|  +8476358.0      +3466.4|
   190     65 0 1    5   1  10|    188387.5|   2731839.9       1450.1|  +2920291.8      +1550.2|
   190     65 1 1    5   1  10|    181527.6|   2736207.0       1507.3|  +2908312.5      +1602.1|
   120    120 0 0   10   1  10|    126219.9|   6890941.4       5459.5|  +7548863.7      +5980.7|
   120    120 1 0   10   1  10|    123011.3|   6945381.1       5646.1|  +8361240.6      +6797.1|
   350    120 0 1   10   1  10|     91669.9|   2722934.2       2970.4|  +2859403.5      +3119.2|
   350    120 1 1   10   1  10|     89900.9|   2694564.2       2997.3|  +2749631.5      +3058.5|
   560    560 0 0   50   1  10|     24753.1|   6292408.1      25420.7|  +7324259.5     +29589.3|
